name,type,value,date
MY EYE AH,Be-ppin,87.8,2011/11/7
LOVE SONG,Funky Monkey Babys,64.9,2011/11/7
スパイス,Perfume,62.3,2011/11/7
たとえ どんなに... 完整版,西野加奈,60.8,2011/11/7
迷宫ラブソング 完整版,岚,59.7,2011/11/7
Your Best Friend 完整版,仓木麻衣,58.4,2011/11/7
GLITTER,Perfume,49.8,2011/11/7
YOU,后藤真希,46.5,2011/11/7
Charge & Go!,AAA,46.5,2011/11/7
风は吹いている,AKB48,46,2011/11/7
ステキな日曜日~Gyu Gyuグッデイ~,芦田爱菜,46,2011/11/7
世界上唯一的花 官方版,SMAP,44.4,2011/11/7
Green a.live,YUI,43.9,2011/11/7
Heartful Voice,泷&翼,41.8,2011/11/7
X X X,彩虹乐队,41.5,2011/11/7
六等星の夜,Aimer,40.5,2011/11/7
恋文~ラブレター~ 完整版,GReeeeN,40.1,2011/11/7
Hello~Paradise Kiss~,YUI,39.9,2011/11/7
フライングゲット,AKB48,38.4,2011/11/7
BAD GIRL!! feat. SKY-HI (AAA),BRIGHT,37.6,2011/11/7
MY EYE AH,Be-ppin,90.11,2011/11/14
うたをうたおう,moumoon,81.81,2011/11/14
LOVE SONG,Funky Monkey Babys,77.06,2011/11/14
Fight For The Eight,関ジャニ∞,76.95,2011/11/14
たとえ どんなに... 完整版,西野加奈,74.35,2011/11/14
Test Drive,赤西仁 Jason Derulo,70.76,2011/11/14
Your Best Friend 完整版,仓木麻衣,66.75,2011/11/14
桜色舞うころ,清木场俊介,66.53,2011/11/14
Switch On!,土屋安娜,65.32,2011/11/14
スパイス,Perfume,65.07,2011/11/14
Ooo Baby,EXILE ATSUSHI,59.78,2011/11/14
迷宫ラブソング 完整版,岚,55.48,2011/11/14
ステキな日曜日~Gyu Gyuグッデイ~,芦田爱菜,55.16,2011/11/14
Graffiti 完整版,GACKT,54.53,2011/11/14
世界上唯一的花 官方版,SMAP,54.19,2011/11/14
荒野より,中岛美雪,54.1,2011/11/14
歩いていこう,いきものがかり,52.42,2011/11/14
风は吹いている (DANCE! DANCE! DANCE! Ver.),AKB48,52.26,2011/11/14
モンじゃい.ビート,関ジャニ∞,52.11,2011/11/14
Green a.live,YUI,51.68,2011/11/14
Love Story,安室奈美惠,92.12,2011/11/21
